463,577,3.395
1110,459,4.27
760,827,3.461
25,1438,1.464
1153,351,4.305
474,699,3.17
455,549,3.562
1808,1284,1.044
1005,1200,1.206
1028,569,4.152
565,360,3.693
670,282,3.811
527,541,3.619
667,240,3.816
1139,1411,0.763
878,1259,0.819
743,565,3.861
549,233,3.711
1770,203,3.146
1589,630,3.33
110,1118,1.595
1057,607,4.176
1209,1112,1.466
601,321,3.738
1760,1165,2.152
547,174,3.717
782,526,3.912
989,467,4.137
1828,105,3.109
1056,1019,1.225
854,1074,1.307
489,448,3.605
451,501,3.572
1183,630,4.309
517,314,3.664
1210,440,4.352
1289,907,1.921
1007,557,4.133
1160,555,4.281
579,1300,0.671
1718,1200,1.165
616,204,3.771
804,920,1.398
497,516,3.6
525,496,3.629
592,201,3.752
1351,992,2.188
992,287,4.148
936,539,4.07
630,242,3.779
849,1040,1.318
667,1086,1.035
606,1027,1.197
803,653,3.889
921,646,4.02
902,1387,0.67
585,286,3.732
1126,1161,1.291
477,538,3.582
688,1088,1.074
981,1115,1.235
652,366,3.785
616,365,3.744
280,419,2.189
635,268,3.785
1250,1058,1.553
1259,922,1.554
1776,1270,1.025
1268,1010,1.585
452,1037,2.281
1913,750,2.238
1153,1060,1.321
647,219,3.797
832,1231,0.845
453,352,3.592
766,480,3.902
553,1206,0.716
585,177,3.748
526,338,3.666
939,487,4.082
766,458,3.908
482,105,3.676
833,487,3.977
625,330,3.76
743,644,3.617
1739,1385,0.829
436,1154,0.773
586,482,3.689
610,272,3.756
547,500,3.648
504,375,3.635
1105,1254,0.969
643,447,3.76
532,297,3.68
595,353,3.725
1135,1042,1.262
1131,1133,1.296
593,505,3.693
384,381,3.557
718,989,1.239
610,404,3.729
1306,1019,1.568
772,639,3.867
1772,158,3.17
763,1013,1.197
518,256,3.678
557,1178,0.759
1015,187,4.164
377,444,3.51
549,267,3.701
930,579,4.051
464,297,3.623
520,516,3.619
600,224,3.754
1686,1283,0.933
1176,505,4.305
583,400,3.707
1208,1006,1.431
1119,990,1.224
1269,901,1.601
511,396,3.637
1470,1048,1.927
1589,1250,1.038
449,1306,0.646
1636,1195,1.076
575,530,3.672
1761,1223,2.023
560,338,3.699
1125,953,1.227
586,549,3.678
494,1208,0.698
1343,764,4.113
1225,1132,1.507
947,1079,1.254
1194,755,3.818
256,1090,1.542
1538,635,3.5
1446,890,3.805
363,1184,0.713
593,1275,0.686
890,215,4.051
496,470,3.605
609,1049,1.124
282,494,2.191
391,1141,0.79
585,1087,1.002
1599,1282,1.006
530,474,3.639
1883,665,2.287
1232,576,4.375
402,1160,0.752
1915,595,2.385
1696,1194,1.082
75,1423,0.744
1244,404,4.414
616,983,1.644
1075,564,4.207
488,494,3.596
639,421,3.76
744,347,3.893
968,388,4.121
503,1289,0.661
503,338,3.645
674,1183,0.814
932,1021,1.276
810,457,3.955
1464,1071,1.25
520,1093,0.954
637,381,3.766
143,974,1.527
623,440,3.738
1050,830,3.734
