462.98,577.02,3.393
1110,459.03,4.27
760,827.06,3.463
25.034,1437.9,1.274
1153,351.05,4.301
473.97,699.01,3.168
454.99,548.98,3.561
1807.9,1284,1.045
1005,1200,1.206
1028,569.03,4.152
565,360.02,3.691
669.99,282.05,3.814
527,541.01,3.623
667.04,240.04,3.818
1138.9,1410.9,0.772
878.02,1259,0.819
743.09,565.05,3.863
549.01,233.04,3.709
1770,203.06,3.146
1589,630.03,3.334
109.98,1118,1.5
1057,607.01,4.18
1209,1112,1.47
601.02,321.03,3.738
1760.1,1164.9,2.146
547.01,174.02,3.719
781.96,526.02,3.912
989.03,467.03,4.137
1828,105.04,3.105
1056,1019.1,1.226
854,1074.1,1.304
489,448.03,3.6
451.01,501.02,3.568
1183,630.02,4.309
517,314.02,3.662
1210,440.01,4.352
1289,907.08,2.062
1007,557.04,4.133
1160,555.03,4.277
579.08,1300,0.671
1718,1200,1.14
616.01,204.03,3.771
804,920.04,1.416
496.97,516.01,3.6
524.98,496.04,3.629
591.99,201.07,3.752
1351,991.99,2.199
991.99,287.03,4.148
936,539.04,4.066
630.02,242,3.779
849,1040.1,1.316
666.99,1086,1.042
605.99,1027,1.215
803.01,653.02,3.879
920.97,646.03,4.023
902.03,1387,0.668
585.05,286.02,3.732
1126,1161,1.294
477.02,538.02,3.58
687.99,1088,1.078
981.04,1115,1.231
652.04,366.05,3.785
616,365.03,3.744
280.05,418.96,2.189
634.99,268.03,3.785
1250,1058,1.556
1258.9,921.96,1.555
1776,1270,1.025
1268.1,1010.1,1.581
451.97,1037.1,2.287
1913,749.95,2.277
1153,1060.1,1.323
646.98,219.03,3.797
832.03,1231,0.845
453,351.96,3.588
766.04,480.05,3.9
552.97,1206,0.716
585.01,177.03,3.75
526,338.01,3.66
938.99,487.05,4.078
766.06,458.05,3.902
481.99,105.02,3.678
833.05,487.07,3.977
625.02,329.98,3.76
743,644.02,3.613
1739,1385,0.829
436.03,1154,0.772
586,482,3.691
610,272.04,3.756
547.03,499.98,3.65
503.99,375,3.631
1105,1254,0.968
643.01,447,3.762
532.04,297.05,3.68
595.01,353.03,3.725
1135,1042,1.262
1131,1133.1,1.298
593.02,504.98,3.695
383.99,380.99,3.545
718.03,988.98,1.237
610.01,403.99,3.729
1306.1,1019.1,1.569
772,639.04,3.867
1772,158.02,3.17
762.96,1013,1.201
517.95,256.01,3.678
556.99,1178,0.758
1015,187.02,4.16
377.02,443.97,3.496
549.01,267.07,3.701
930,579,4.047
464,297.1,3.619
519.98,516.05,3.621
600.01,224.01,3.756
1686,1283,0.933
1176.1,504.98,4.305
583,400.08,3.707
1208,1006,1.434
1119,989.98,1.223
1269,901.03,1.601
511,396.07,3.633
1470,1048,1.889
1589,1250,1.034
449.03,1306,0.645
1636,1195.1,1.076
575.02,530.05,3.676
1761,1223,1.986
560.01,338.02,3.697
1125,953.05,1.225
585.99,549.07,3.68
494,1208,0.699
1343.1,764.06,4.102
1224.9,1132,1.517
947,1079,1.253
1194,755.02,3.871
256.04,1090,1.538
1538,634.98,3.488
1446,890.02,3.777
362.99,1184,0.715
592.96,1275,0.686
889.96,215.05,4.047
495.99,470.02,3.604
609.01,1049,1.136
282.03,494.01,2.199
390.97,1141,0.79
584.99,1087,1.009
1599,1282.1,1.004
530.04,473.98,3.641
1883,665.06,2.35
1232,575.98,4.375
402.01,1160,0.752
1915,595.05,2.447
1696,1194,1.085
75.015,1423,0.722
1244,404.03,4.41
615.95,983,1.69
1075,564.05,4.207
488.01,494.03,3.594
638.99,421,3.76
743.97,346.99,3.891
967.98,388.06,4.125
503.04,1289,0.66
503.03,338.03,3.641
673.99,1183,0.815
932.02,1021,1.277
809.94,457.01,3.955
1463.9,1071,1.245
520,1093,0.96
637.01,381.03,3.764
142.98,974.04,1.513
623.02,440.05,3.74
1050,830.02,3.768
577.98,1123,0.886
1828.1,764.03,2.26
938.03,1367.1,0.7
1663,1003.1,2.02
646.02,1021,1.209
1118,736.02,4.16
553.99,532.05,3.65
