6 	 0.013184 	 0.0120954 	 0.00268332 	 0.00269592
8 	 0.0116905 	 0.0107965 	 0.00250726 	 0.00337185
10 	 0.00992273 	 0.0127103 	 0.0021124 	 0.00413309
12 	 0.008228 	 0.00694044 	 0.00182421 	 0.00182761
14 	 0.00818775 	 0.00781024 	 0.00186096 	 0.00227422
16 	 0.00730303 	 0.0063811 	 0.00166816 	 0.00187411
18 	 0.00707931 	 0.00753004 	 0.00160267 	 0.0022938
20 	 0.00719029 	 0.00821288 	 0.0016572 	 0.00228152
22 	 0.00655233 	 0.00729041 	 0.00152297 	 0.00209445
24 	 0.00658945 	 0.00930922 	 0.00154312 	 0.00274434
26 	 0.00668566 	 0.0115021 	 0.00152697 	 0.0027246
28 	 0.0063084 	 0.00877749 	 0.00145658 	 0.00256018
30 	 0.00663838 	 0.0144834 	 0.00163507 	 0.00457786
