6 	 0.0112114 	 0.00737795 	 0.00174688 	 0.00117482
8 	 0.0108234 	 0.00745496 	 0.00183237 	 0.00125858
10 	 0.013013 	 0.00991515 	 0.00249659 	 0.00172183
12 	 0.00938702 	 0.0064204 	 0.00173869 	 0.00116083
14 	 0.00914465 	 0.00616862 	 0.0017922 	 0.0011428
16 	 0.00918452 	 0.00673972 	 0.0018057 	 0.00123784
18 	 0.00886242 	 0.00609269 	 0.00177339 	 0.00115799
20 	 0.0116789 	 0.00895726 	 0.00248375 	 0.00169966
22 	 0.00885036 	 0.0060179 	 0.00183582 	 0.00115403
24 	 0.00863387 	 0.00639359 	 0.0018041 	 0.00121301
26 	 0.00890383 	 0.00651845 	 0.00186396 	 0.00127342
28 	 0.00864194 	 0.0064457 	 0.00183803 	 0.0012152
30 	 0.00839103 	 0.0061689 	 0.00178775 	 0.00117499
