0.2 	 0.00631202 	 0.0166138 	 0.0015808 	 0.00447062
0.4 	 0.00641044 	 0.0118489 	 0.00152308 	 0.00299268
0.6 	 0.00681822 	 0.0260455 	 0.00174267 	 0.0130862
0.8 	 0.00644254 	 0.0117741 	 0.00159374 	 0.00347321
1 	 0.00664804 	 0.0181013 	 0.00164597 	 0.00569445
1.2 	 0.00695874 	 0.0121313 	 0.00158886 	 0.00296977
1.4 	 0.00757009 	 0.0269823 	 0.00170865 	 0.00567521
1.6 	 0.0074394 	 0.0159176 	 0.00176509 	 0.00548016
1.8 	 0.0073442 	 0.0156064 	 0.00166287 	 0.00288208
2 	 0.00774723 	 0.0122773 	 0.00179317 	 0.00415729
2.2 	 0.0083912 	 0.014916 	 0.00188982 	 0.00349597
2.4 	 0.00904837 	 0.0234068 	 0.0020101 	 0.00389829
2.6 	 0.00823341 	 0.0112645 	 0.00185334 	 0.00343423
2.8 	 0.0086086 	 0.0101078 	 0.00187482 	 0.00231104
3 	 0.00976194 	 0.0133856 	 0.00223756 	 0.00401619
3.2 	 0.010328 	 0.0184574 	 0.00236916 	 0.00478858
3.4 	 0.0103447 	 0.0129423 	 0.00224786 	 0.00296772
3.6 	 0.0112924 	 0.0221664 	 0.00247287 	 0.00440613
3.8 	 0.0109614 	 0.0155052 	 0.00242438 	 0.00348415
4 	 0.0116809 	 0.0168529 	 0.00261232 	 0.00384342
