0.2 	 0.00468038 	 0.0033646 	 0.000452248 	 0.000384785
0.4 	 0.00617141 	 0.00484486 	 0.000888749 	 0.000779432
0.6 	 0.0081567 	 0.00691444 	 0.00140036 	 0.00123194
0.8 	 0.00963207 	 0.00781313 	 0.0017786 	 0.00146035
1 	 0.0114565 	 0.0099452 	 0.00221079 	 0.00181698
1.2 	 0.0139712 	 0.0127345 	 0.00275707 	 0.00232941
1.4 	 0.016102 	 0.0148195 	 0.00323893 	 0.00273534
1.6 	 0.017623 	 0.0165355 	 0.00358462 	 0.00305775
1.8 	 0.0202008 	 0.0191388 	 0.00412848 	 0.00351111
2 	 0.0221095 	 0.0208487 	 0.00451392 	 0.00369779
2.2 	 0.0248518 	 0.0258027 	 0.00511522 	 0.00466113
2.4 	 0.0267464 	 0.0240368 	 0.00551555 	 0.00451534
2.6 	 0.0290916 	 0.0294471 	 0.00601664 	 0.00552697
2.8 	 0.0310707 	 0.0311769 	 0.00646956 	 0.0057457
3 	 0.0314845 	 0.0290573 	 0.00666264 	 0.00535149
3.2 	 0.0334029 	 0.0325372 	 0.00702939 	 0.00589972
3.4 	 0.0366133 	 0.0360362 	 0.00773967 	 0.00659958
3.6 	 0.0386966 	 0.0381534 	 0.00814496 	 0.00681604
3.8 	 0.0415585 	 0.0402862 	 0.00880285 	 0.00742282
4 	 0.0421067 	 0.0415083 	 0.00896459 	 0.0076481
