6 	 0.00663669 	 0.0140949 	 0.00507277 	 0.00409044	 0.00713671 	 0.0132545 	 0.00396748 	 0.00082523
8 	 0.0259779 	 0.0767075 	 0.00872698 	 0.015529	 0.0173119 	 0.0445052 	 0.00521633 	 0.00329049
10 	 0.0114906 	 0.0198035 	 0.00720558 	 0.0079295	 0.0106909 	 0.0161804 	 0.00500734 	 0.00393523
12 	 0.0148281 	 0.0283512 	 0.00570867 	 0.00425274	 0.0134921 	 0.0209774 	 0.00444892 	 0.00193982
14 	 0.0130492 	 0.0198917 	 0.00645488 	 0.00527158	 0.0152768 	 0.0267567 	 0.00691441 	 0.0101395
16 	 0.015225 	 0.0340523 	 0.00643228 	 0.0061154	 0.0140762 	 0.0309516 	 0.00465674 	 0.00213146
18 	 0.0156291 	 0.0261836 	 0.00744213 	 0.00779769	 0.0161011 	 0.0287713 	 0.00672665 	 0.00985326
20 	 0.016114 	 0.0227409 	 0.00695975 	 0.00515195	 0.0127425 	 0.017353 	 0.00523157 	 0.00227695
22 	 0.01359 	 0.0209857 	 0.00538155 	 0.00307737	 0.0130426 	 0.0195208 	 0.00438717 	 0.00072005
24 	 0.0188241 	 0.0208616 	 0.00687903 	 0.00703889	 0.015367 	 0.0152931 	 0.0039557 	 0.000983919
26 	 0.014482 	 0.0185504 	 0.00660458 	 0.00525119	 0.0116872 	 0.0143472 	 0.00456439 	 0.00165746
28 	 0.0138554 	 0.0161192 	 0.00529875 	 0.00222536	 0.0118722 	 0.0134639 	 0.00434832 	 0.000917543
30 	 0.014685 	 0.0177724 	 0.00510163 	 0.00215853	 0.0129475 	 0.0156454 	 0.00429855 	 0.000801634
